number_of_doc	date_of_doc	sum	ITN	contactor	contract	object
1	10.01.2021	9 849 600,00	7805223443	ОТИС ЛИФТ	B7NO-3227/3242	TERRA_2
2	10.02.2021	9 849 600,00	7805223443	ОТИС ЛИФТ	B7NO-3227/3242	TERRA_2
3	10.03.2021	10 953 600,00	7805223443	ОТИС ЛИФТ	B7NO-3227/3242	TERRA_2
4	10.04.2021	8 745 600,00	7805223443	ОТИС ЛИФТ	B7NO-3227/3242	TERRA_2
1	11.01.2021	14 052 940,56	7811060998	БЕККЕР	2-TERRA-51	TERRA_2
2	11.02.2021	14 346 444,53	7811060998	БЕККЕР	2-TERRA-51	TERRA_2
1	12.01.2021	8 783 496,73	7811060998	БЕККЕР	1-TERRA-41	TERRA_1
2	12.02.2021	12 537 631,03	7811060998	БЕККЕР	1-TERRA-41	TERRA_1
3	12.03.2021	7 927 462,10	7811060998	БЕККЕР	1-TERRA-41	TERRA_1
4	12.04.2021	11 625 471,24	7811060998	БЕККЕР	1-TERRA-41	TERRA_1
1	13.04.2021	815 922,50	7806564446	ИСУ	1-TERRA-37	TERRA_1
2	13.05.2021	1 983 427,67	7806564446	ИСУ	1-TERRA-37	TERRA_1
3	13.06.2021	1 022 513,00	7806564446	ИСУ	1-TERRA-37	TERRA_1
4	13.07.2021	1 251 063,67	7806564446	ИСУ	1-TERRA-37	TERRA_1
5	13.08.2021	2 560 884,30	7806564446	ИСУ	1-TERRA-37	TERRA_1
6	13.09.2021	5 190 955,34	7806564446	ИСУ	1-TERRA-37	TERRA_1
7	13.10.2021	3 934 370,65	7806564446	ИСУ	1-TERRA-37	TERRA_1
8	13.11.2021	7 724 313,97	7806564446	ИСУ	1-TERRA-37	TERRA_1
1	14.01.2021	1 778 608,45	7814669700	РОДЕО СПБ	1-TERRA-45	TERRA_1
2	14.02.2021	1 506 904,10	7814669700	РОДЕО СПБ	1-TERRA-45	TERRA_1
3	14.03.2021	1 955 844,30	7814669700	РОДЕО СПБ	1-TERRA-45	TERRA_1
4	14.04.2021	2 876 250,70	7814669700	РОДЕО СПБ	1-TERRA-45	TERRA_1
5	14.05.2021	3 426 275,11	7814669700	РОДЕО СПБ	1-TERRA-45	TERRA_1
6	14.06.2021	3 450 604,18	7814669700	РОДЕО СПБ	1-TERRA-45	TERRA_1
7	14.07.2021	3 673 258,87	7814669700	РОДЕО СПБ	1-TERRA-45	TERRA_1
8	14.08.2021	1 742 623,70	7814669700	РОДЕО СПБ	1-TERRA-45	TERRA_1
9	14.09.2021	4 091 584,30	7814669700	РОДЕО СПБ	1-TERRA-45	TERRA_1
10	14.10.2021	3 923 261,64	7814669700	РОДЕО СПБ	1-TERRA-45	TERRA_1
